Company,News_URL,Homepage_URL
3M Company,https://news.3m.com/press-releases,https://news.3m.com
ABB Ltd,https://global.abb/group/en/investors/press-releases,https://global.abb
Abbott Laboratories,https://abbott.mediaroom.com/,https://abbott.mediaroom.com
Accelleron Industries AG,https://www.sharewise.com/de/news_articles/Accelleron_Industries_AG_Accelleron_propelled_by_high_demand_and_market_share_gains_reports_outsta_Accelleron_Industries_Ltd_eqsen_20250827_0430,https://www.sharewise.com
Addex Therapeutics Ltd,https://www.addextherapeutics.com/en/media/press-releases/,https://www.addextherapeutics.com
Adecco Group AG,https://www.adeccogroup.com/our-group/media/press-releases,https://www.adeccogroup.com
Adval Tech Holding AG,https://www.advaltech.com/,https://www.advaltech.com
AEVIS VICTORIA SA,https://www.aevis.com/en/news-reports/press-releases,https://www.aevis.com
Airesis SA,https://www.airesis.com/en/press-releases-and-results,https://www.airesis.com
Alcon Inc.,https://investor.alcon.com/news-and-events/press-releases/default.aspx,https://investor.alcon.com
Allreal Holding AG,https://allreal.ch/en/investors-and-media/media,https://allreal.ch
Alpine Select AG,https://www.alpine-select.ch/en/news,https://www.alpine-select.ch
ALSO Holding AG,https://www.also.com/ec/cms5/en_6000/6000/company/news-center/press-releases/index.jsp,https://www.also.com
Amrize Ltd,https://www.six-group.com/en/newsroom/media-releases/2025/20250623-amrize-listing.html,https://www.six-group.com
ams-OSRAM AG,https://ams-osram.com/de/news/press-releases,https://ams-osram.com
Anglo American plc,https://www.angloamerican.com/media/press-releases/2025,https://www.angloamerican.com
APG SGA SA,https://www.apgsga.ch/en/about-us/media/,https://www.apgsga.ch
Arbonia AG,https://www.arbonia.com/en/media-releases/,https://www.arbonia.com
ARYZTA AG,https://www.aryzta.com/newsroom,https://www.aryzta.com
Ascom Holding AG,https://www.ascom.com/news/,https://www.ascom.com
ASMALLWORLD AG,https://www.asmallworldag.com/ir-news,https://www.asmallworldag.com
Autoneum Holding AG,https://www.autoneum.com/media/media-releases/,https://www.autoneum.com
Avolta AG,https://www.avoltaworld.com/en/media/press-releases-ad-hoc-announcements,https://www.avoltaworld.com
Bachem Holding AG,https://www.bachem.com/about-bachem/investors-and-media/press-archive/,https://www.bachem.com
Baloise Holding AG,https://www.baloise.com/en/home/news-stories/news/media-releases.html,https://www.baloise.com
Banque Cantonale de Genève,https://www.bcge.ch/en/news,https://www.bcge.ch
Banque Cantonale du Jura SA,https://www.bcj.ch/fr/La-BCJ/Actualites-et-communiques-de-presse.html,https://www.bcj.ch
Banque Cantonale Vaudoise,https://www.bcv.ch/en/home/la-bcv/news-and-media.html,https://www.bcv.ch
Barry Callebaut AG,https://www.barry-callebaut.com/en/about-us/media,https://www.barry-callebaut.com
Basellandschaftliche Kantonalbank,https://www.blkb.ch/die-blkb/medien/medienmitteilungen,https://www.blkb.ch
Basilea Pharmaceutica AG,https://www.basilea.com/news,https://www.basilea.com
Basler Kantonalbank,https://www.bkb.ch/de/die-basler-kantonalbank/medien/medienmitteilungen,https://www.bkb.ch
BB Biotech AG,https://www.bbbiotech.ch/all-en/all/investors/corporate-news,https://www.bbbiotech.ch
BELIMO Holding AG,https://www.belimo.com/us/en_US/about/media/news,https://www.belimo.com
Bell Food Group AG,https://www.bellfoodgroup.com/en/media/media-releases,https://www.bellfoodgroup.com
Bellevue Group AG,https://www.bellevue.ch/all-en/all/investor-relations/corporate-news,https://www.bellevue.ch
Bergbahnen Engelberg-Trübsee-Titlis AG,https://www.titlis.ch/de/informationen/investor-relations,https://www.titlis.ch
Berner Kantonalbank AG,https://www.bekb.ch/die-bekb/publikationen/medienmitteilungen,https://www.bekb.ch
BioVersys AG,https://www.bioversys.com/category/news/,https://www.bioversys.com
BKW AG,https://www.bkw.ch/de/ueber-uns/aktuell/medien/medienmitteilungen,https://www.bkw.ch
Bossard Holding AG,https://www.bossard.com/ch-en/about-us/news-and-press-releases/,https://www.bossard.com
Bucher Industries AG,https://www.bucherindustries.com/en/media,https://www.bucherindustries.com
Burckhardt Compression Holding AG,https://www.burckhardtcompression.com/about/news-stories-and-whitepapers/,https://www.burckhardtcompression.com
Burkhalter Holding AG,https://www.burkhalter.ch/en/about-us/investor-relations/media-releases-and-press-photos,https://www.burkhalter.ch
BVZ Holding AG,https://www.bvzholding.ch/en/menue/media/,https://www.bvzholding.ch
Bystronic AG,https://www.bystronic.com/che/en/newsroom,https://www.bystronic.com
Calida Holding AG,https://www.calidagroup.com/en/news/,https://www.calidagroup.com
Carlo Gavazzi Holding AG,https://www.carlogavazzi.com/en/media/2024.html,https://www.carlogavazzi.com
Castle Private Equity AG,https://castlepe.com/en/investor-relations,https://castlepe.com
Cembra Money Bank AG,https://www.cembra.ch/en/investor/news-media/,https://www.cembra.ch
Cham Swiss Properties AG,https://www.champroperties.ch/en/media-services,https://www.champroperties.ch
Chocoladefabriken Lindt & Sprüngli AG,https://www.lindt-spruengli.com/press-releases-and-news/english/,https://www.lindt-spruengli.com
Chocoladefabriken Lindt & Sprüngli AG,https://www.lindt-spruengli.com/press-releases-and-news/english/,https://www.lindt-spruengli.com
CI Com SA,https://www.cicomsa.com/news/press-releases,https://www.cicomsa.com
Cicor Technologies Ltd.,https://www.cicor.com/en/news/,https://www.cicor.com
Clariant AG,https://www.clariant.com/en/Media,https://www.clariant.com
COLTENE Holding AG,https://invest.coltene.com/news-dates/adhoc-corporate-news/,https://invest.coltene.com
Comet Holding AG,https://comet.tech/en/news,https://comet.tech
Compagnie de Saint-Gobain,https://www.saint-gobain.com/en/press/press-releases,https://www.saint-gobain.com
Compagnie Financière Richemont SA,https://www.richemont.com/news-media/press-releases-news/,https://www.richemont.com
Compagnie financière Tradition SA,https://www.tradition.com/financials/press-releases/2025.aspx,https://www.tradition.com
COSMO Pharmaceuticals N.V.,https://cosmopharma.com/investors/news-and-media/,https://cosmopharma.com
CPH Group AG,https://cph.ch/media/,https://cph.ch
Curatis Holding AG,https://ir.curatis.com/financial-news,https://ir.curatis.com
Dätwyler Holding AG,https://datwyler.com/de/media,https://datwyler.com
